Transport Type,Year,Volume,Rate
Bus,2009-01,1345,23.2
Bus,2009-02,1788,15.4
Bus,2009-03,794,13.6
Bus,2009-04,2066,11.3
Bus,2009-05,2148,11.1
Bus,2009-06,2141,11.1
Bus,2009-07,2149,11.2
Bus,2009-08,1745,9.7
Bus,2009-09,1871,9.6
Bus,2009-10,2211,11
Bus,2009-11,2234,11.6
Bus,2009-12,1925,10.9
Bus,2010-01,1921,10.6
Bus,2010-02,2079,12
Bus,2010-03,2402,12
Bus,2010-04,1955,10.7
Bus,2010-05,1955,10
Bus,2010-06,2068,10.6
Bus,2010-07,2161,10.9
Bus,2010-08,1850,10.6
Bus,2010-09,1988,9.7
Bus,2010-10,2086,10.5
Bus,2010-11,2071,10.5
Bus,2010-12,1747,10.3
Bus,2011-01,1979,10.7
Bus,2011-02,1968,11.1
Bus,2011-03,2126,10.2
Bus,2011-04,1768,9.7
Bus,2011-05,2006,10
Bus,2011-06,1967,9.8
Bus,2011-07,1921,9.6
Bus,2011-08,1515,8.7
Bus,2011-09,1659,8
Bus,2011-10,1841,9.1
Bus,2011-11,1957,9.6
Bus,2011-12,1650,9.1
Bus,2012-01,1745,9.1
Bus,2012-02,1643,8.9
Bus,2012-03,1998,9.4
Bus,2012-04,1653,8.9
Bus,2012-05,1823,8.5
Bus,2012-06,1688,8.8
Bus,2012-07,1822,9.1
Bus,2012-08,1591,8.7
Bus,2012-09,1505,7.3
Bus,2012-10,1822,8.624117235
Bus,2012-11,1823,9.045305918
Bus,2012-12,1725,9.5
Bus,2013-01,1581,8.3
Bus,2013-02,1572,8.7
Bus,2013-03,1644,8.2
Bus,2013-04,1563,8.4
Bus,2013-05,1478,8
Bus,2013-06,1393,7.8
Bus,2013-07,1403,8.1
Bus,2013-08,1287,7.4
Bus,2013-09,1263,7
Bus,2013-10,1416,8.5
Bus,2013-11,1503,8.7
Bus,2013-12,1366,8.1
Bus,2014-01,1298,7.44
Bus,2014-02,1277,7.5
Bus,2014-03,1314,7.2
Bus,2014-04,1306,6.796806775
Bus,2014-05,1350,6.6
Bus,2014-06,1438,6.9
Bus,2014-07,1392,6.8
Bus,2014-08,1183,6.6
Bus,2014-09,1559,7.4
Bus,2014-10,1585,7.4
Bus,2014-11,1521,7.4
Bus,2014-12,1515,8
Bus,2015-01,1501,7.9
Bus,2015-02,1339,7.6
Bus,2015-03,1588,7.7
Bus,2015-04,1432,7.5
Bus,2015-05,1123,7.9
Bus,2015-06,1465,7.9
Bus,2015-07,1354,7.7
Bus,2015-08,1178,7.4
Bus,2015-09,1389,7.6
Bus,2015-10,1324,7.7
Bus,2015-11,1422,7.7
Bus,2015-12,1466,7.8
Bus,2016-01,1347,7.1
Bus,2016-02,1502,7.7
Bus,2016-03,1555,8.1
Bus,2016-04,1482,7.9
Bus,2016-05,1404,8.3
Bus,2016-06,1447,7.3
Bus,2016-07,1479,7.6
Bus,2016-08,1432,7.3
Bus,2016-09,1321,7.8
Bus,2016-10,1614,7.3
Bus,2016-11,1444,7.5
Bus,2016-12,1370,7.8
Bus,2017-01,1212,6.6
Bus,2017-02,1256,7.3
Bus,2017-03,1587,7.7
Bus,2017-04,1166,6.6
Bus,2017-05,1396,7
Bus,2017-06,1402,7.2
Bus,2017-07,1536,8.1
Bus,2017-08,1197,7.1
Bus,2017-09,1274,6.5
Bus,2017-10,1403,7.1
Bus,2017-11,1543,7.8
Bus,2017-12,1227,7.1
Bus,2018-01,1218,6.5
Bus,2018-02,1245,7.2
Bus,2018-03,1320,6.9
Bus,2018-04,1080,6.1
Bus,2018-05,1220,6.3
Bus,2018-06,1194,6.1
Bus,2018-07,1273,6.8
Bus,2018-08,1032,6.2
Bus,2018-09,1184,6.2
Bus,2018-10,1369,7
Bus,2018-11,1488,7.6
Bus,2018-12,1262,7.3
Bus,2019-01,1318,7.2
Bus,2019-02,1369,8
Bus,2019-03,1568,8.1
Bus,2019-04,1388,7.9
Bus,2019-05,1397,7.3
Bus,2019-06,1568,8.3
Bus,2019-07,1472,7.8
Bus,2019-08,1146,7
Bus,2019-09,1326,7
Bus,2019-10,1246,7.9
Bus,2019-11,1134,8.5
Bus,2019-12,1500,9.4
All transport modes,2012-01,2670,8.9
All transport modes,2012-02,3041,9
All transport modes,2012-03,2845,9.2
All transport modes,2012-04,3143,9.5
All transport modes,2012-05,2667,8.4
All transport modes,2012-06,2509,7.7
All transport modes,2012-07,3105,9.1
All transport modes,2012-08,3258,9.9
All transport modes,2012-09,2865,9.6
All transport modes,2012-10,2902,9.7
All transport modes,2012-11,3143,9.7
All transport modes,2012-12,2765,9.3
All transport modes,2013-01,2794,9.1
All transport modes,2013-02,2660,9
All transport modes,2013-03,2953,9.1
All transport modes,2013-04,2754,9.9
All transport modes,2013-05,2567,9.7
All transport modes,2013-06,2646,9.6
All transport modes,2013-07,2987,9.4
All transport modes,2013-08,2944,9.5
All transport modes,2013-09,2655,9.5
All transport modes,2013-10,2143,9.4
All transport modes,2013-11,2321,9.8
All transport modes,2013-12,2345,9.8
All transport modes,2014-01,2152,6.869434576
All transport modes,2014-02,2201,6.592438601
All transport modes,2014-03,2368,7.027173024
All transport modes,2014-04,2350,6.9
All transport modes,2014-05,2024,6.7
All transport modes,2014-06,2442,7.1
All transport modes,2014-07,2572,7.1
All transport modes,2014-08,2462,7.2
All transport modes,2014-09,2467,7.8
All transport modes,2014-10,2564,7.6
All transport modes,2014-11,2654,7.4
All transport modes,2014-12,2315,7.9
All transport modes,2015-01,2389,7.5
All transport modes,2015-02,2153,7.1
All transport modes,2015-03,2574,7.4
All transport modes,2015-04,2773,7.4
All transport modes,2015-05,2665,7.4
All transport modes,2015-06,2454,7.4
All transport modes,2015-07,2357,7.4
All transport modes,2015-08,2477,7.4
