transport,month,year,volume,rate
Bus,Jan,2009,1345,23.2
Bus,Feb,2009,1788,
Bus,Mar,2009,794,
Bus,Apr,2009,2066,11.3
Bus,May,2009,2148,11.1
Bus,Jun,2009,2141,11.1
Bus,Jul,2009,2149,11.2
Bus,Aug,2009,1745,9.7
Bus,Sept,2009,1871,9.6
Bus,Oct,2009,2211,11
Bus,Nov,2009,2234,11.6
Bus,Dec,2009,1925,10.9
Bus,Jan,2010,1921,10.6
Bus,Feb,2010,2079,12
Bus,Mar,2010,2402,12
Bus,Apr,2010,1955,10.7
Bus,May,2010,1955,10
Bus,Jun,2010,2068,10.6
Bus,Jul,2010,2161,10.9
Bus,Aug,2010,1850,10.6
Bus,Sep,2010,1988,9.7
Bus,Oct,2010,2086,10.5
Bus,Nov,2010,2071,10.5
Bus,Dec,2010,1747,10.3
Bus,Jan,2011,1979,10.7
Bus,Feb,2011,1968,11.1
Bus,Mar,2011,2126,10.2
Bus,Apr,2011,1768,9.7
Bus,May,2011,2006,10
Bus,Jun,2011,1967,9.8
Bus,Jul,2011,1921,9.6
Bus,Aug,2011,1515,8.7
Bus,Sep,2011,1659,8
Bus,Oct,2011,1841,9.1
Bus,Nov,2011,1957,9.6
Bus,Dec,2011,1650,9.1
Bus,Jan,2012,1745,9.1
Bus,Feb,2012,1643,8.9
Bus,Mar,2012,1998,9.4
Bus,Apr,2012,1653,8.9
Bus,May,2012,1823,8.5
Bus,Jun,2012,1688,8.8
Bus,Jul,2012,1822,9.1
Bus,Aug,2012,1591,8.7
Bus,Sep,2012,1505,7.3
Bus,Oct,2012,1822,8.624117235
Bus,Nov,2012,1823,9.045305918
Bus,Dec,2012,1725,9.5
Bus,Jan,2013,1581,8.3
Bus,Feb,2013,1572,8.7
Bus,Mar,2013,1644,8.2
Bus,Apr,2013,1563,8.4
Bus,May,2013,1478,8
Bus,Jun,2013,1393,7.8
Bus,Jul,2013,1403,8.1
Bus,Aug,2013,1287,7.4
Bus,Sep,2013,1263,7
Bus,Oct,2013,1416,8.5
Bus,Nov,2013,1503,8.7
Bus,Dec,2013,1366,8.1
Bus,Jan,2014,1298,7.44
Bus,Feb,2014,1277,7.5
Bus,Mar,2014,1314,7.2
Bus,Apr,2014,1306,6.796806775
Bus,May,2014,1350,6.6
Bus,Jun,2014,1438,6.9
Bus,Jul,2014,1392,6.8
Bus,Aug,2014,1183,6.6
Bus,Sep,2014,1559,7.4
Bus,Oct,2014,1585,7.4
Bus,Nov,2014,1521,7.4
Bus,Dec,2014,1515,8
Bus,Jan,2015,1501,7.9
Bus,Feb,2015,1339,7.6
Bus,Mar,2015,1588,7.7
Bus,Apr,2015,1432,7.5
Bus,May,2015,1123,7.9
Bus,Jun,2015,1465,7.9
Bus,Jul,2015,1354,7.7
Bus,Aug,2015,1178,7.4
Bus,Sep,2015,1389,7.6
Bus,Oct,2015,1324,7.7
Bus,Nov,2015,1422,7.7
Bus,Dec,2015,1466,7.8
Bus,Apr,2016,1347,7.1
Bus,May,2016,1502,7.7
Bus,Jun,2016,1555,8.1
Bus,Jul,2016,1482,7.9
Bus,Aug,2016,1404,8.3
Bus,Sep,2016,1447,7.3
Bus,Oct,2016,1479,7.6
Bus,Nov,2016,1432,7.3
Bus,Dec,2016,1370,7.8
Bus,Jan,2017,1212,6.6
Bus,Feb,2017,1256,7.3
Bus,Mar,2017,1587,7.7
Bus,Apr,2017,1166,6.6
Bus,May,2017,1396,7
Bus,Jun,2017,1402,7.2
Bus,Jul,2017,1536,8.1
Bus,Aug,2017,1197,7.1
Bus,Sep,2017,1274,6.5
Bus,Oct,2017,1403,7.1
Bus,Nov,2017,1543,7.8
Bus,Dec,2017,1227,7.1
Bus,Jan,2018,1218,6.5
Bus,Feb,2018,1245,7.2
Bus,Mar,2018,1320,6.9
Bus,Apr,2018,1080,6.1
Bus,May,2018,1220,6.3
Bus,Jun,2018,1194,6.1
Bus,Jul,2018,1273,6.8
Bus,Aug,2018,1032,6.2
Bus,Sep,2018,1184,6.2
Bus,Oct,2018,1369,7
Bus,Nov,2018,1488,7.6
Bus,Dec,2018,1262,7.3
Bus,Jan,2019,1318,7.2
Bus,Feb,2019,1369,8
Bus,Mar,2019,1568,8.1
Bus,Apr,2019,1388,7.9
Bus,May,2019,1397,7.3
Bus,Jun,2019,1568,8.3
Bus,Jul,2019,1472,7.8
Bus,Aug,2019,1146,7
Bus,Sep,2019,1326,7
Bus,Oct,2019,1246,7.9
Bus,Nov,2019,1134,8.5
Bus,Dec,2019,1500,9.4
