iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
PAK,Asia,Pakistan,25/02/2020,2,2,0.286,,0,0,0.009,0.009,0.001,,0,0,,,,,,,,,,,,,,,,,,,19.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,26/02/2020,2,0,0.286,,0,0,0.009,0,0.001,,0,0,,,,,,,,,,,,,,,,,,,19.44,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,27/02/2020,2,0,0.286,,0,0,0.009,0,0.001,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,28/02/2020,4,2,0.571,,0,0,0.018,0.009,0.003,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,29/02/2020,4,0,0.571,,0,0,0.018,0,0.003,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,01/03/2020,4,0,0.571,,0,0,0.018,0,0.003,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,02/03/2020,5,1,0.714,,0,0,0.023,0.005,0.003,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,03/03/2020,5,0,0.429,,0,0,0.023,0,0.002,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,04/03/2020,5,0,0.429,,0,0,0.023,0,0.002,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,05/03/2020,6,1,0.571,,0,0,0.027,0.005,0.003,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,06/03/2020,6,0,0.286,,0,0,0.027,0,0.001,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,07/03/2020,6,0,0.286,,0,0,0.027,0,0.001,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,08/03/2020,6,0,0.286,,0,0,0.027,0,0.001,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,09/03/2020,16,10,1.571,,0,0,0.072,0.045,0.007,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,10/03/2020,19,3,2,,0,0,0.086,0.014,0.009,,0,0,,,,,,,,,,,,,,,,,,,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,11/03/2020,20,1,2.143,,0,0,0.091,0.005,0.01,,0,0,,,,,,,,,,471,,0.002,,,,,,tests performed,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,12/03/2020,28,8,3.143,,0,0,0.127,0.036,0.014,,0,0,,,,,,,,,,531,60,0.002,0,,,,,tests performed,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,13/03/2020,31,3,3.571,,0,0,0.14,0.014,0.016,,0,0,,,,,,,,,,609,78,0.003,0,,,,,tests performed,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,14/03/2020,53,22,6.714,,0,0,0.24,0.1,0.03,,0,0,,,,,,,,,,684,75,0.003,0,,,,,tests performed,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,15/03/2020,136,83,18.571,,0,0,0.616,0.376,0.084,,0,0,,,,,,,,,,833,149,0.004,0.001,,,,,tests performed,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,16/03/2020,236,100,31.429,,0,0,1.068,0.453,0.142,,0,0,2.33,,,,,,,,,1125,292,0.005,0.001,,,,,tests performed,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
PAK,Asia,Pakistan,17/03/2020,299,63,40,,0,0,1.354,0.285,0.181,,0,0,2.28,,,,,,,,,1141,16,0.005,0,,,,,tests performed,52.78,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
